CII ID #,Field Site,Original Sample/Animal #,Unique Animal Identifier,sample_Urine,sample_RoostUrine,sample_Throat,sample_Faecal,CoV-1,CoV-2,CoV-3,CoV-4,PmV-1,PmV-2,PmV-3,PmV-4,PmV-5,PmV-6,PmV-7,PmV-8,PmV-9,PmV-10,PmV-11 (NiV),AstV-1,AstV-2,AstV-3,AstV-4,AstV-5,AstV-6,AstV-7,AstV-8,HV-1,HV-2,HV-3,HV-4,HV-5,HV-6,HV-7,HV-8,HV-9,HV-10,HV-11,HV-12,HV-13,AdV-1,AdV-2,AdV-3,AdV-4,AdV-5,AdV-6,AdV-7,AdV-8,AdV-9,AdV-10,AdV-11,AdV-12,AdV-13,AdV-14,PyV-1,PyV-2,PyV-3,BoV-1 (HBoV),BoV-2 (HBoV)
30,"Faridpur (Shuvarampur, Nov-09)",76,"Faridpur (Shuvarampur, Nov-09)_76",1,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,0,0
31,"Faridpur (Shuvarampur, Nov-09)",78,"Faridpur (Shuvarampur, Nov-09)_78",1,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,0,0
32,"Faridpur (Shuvarampur, Nov-09)",83,"Faridpur (Shuvarampur, Nov-09)_83",1,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,0,0
33,"Faridpur (Shuvarampur, Nov-09)",85,"Faridpur (Shuvarampur, Nov-09)_85",1,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,0,0
34,"Faridpur (Shuvarampur, Nov-09)",86,"Faridpur (Shuvarampur, Nov-09)_86",1,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,0,0
35,"Faridpur (Shuvarampur, Nov-09)",87,"Faridpur (Shuvarampur, Nov-09)_87",1,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,0,0
36,"Faridpur (Shuvarampur, Nov-09)",95,"Faridpur (Shuvarampur, Nov-09)_95",1,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,0,0
37,"Faridpur (Shuvarampur, Nov-09)",97,"Faridpur (Shuvarampur, Nov-09)_97",1,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Not Tested,Not Tested,Not Tested,0,0
38,"Faridpur (Jiltoli/Shuvarampur, May-09)",1,"Faridpur (Jiltoli/Shuvarampur, May-09)_1",1,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,1,0
39,"Faridpur (Jiltoli/Shuvarampur, May-09)",2,"Faridpur (Jiltoli/Shuvarampur, May-09)_2",1,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Tested,Not Tested,Not Tested,0,0
